rides_in_thousands,length_bucket,rideable_type
0.009,1205,classic_bike
0.015,1210,classic_bike
0.012,1215,classic_bike
0.008,1220,classic_bike
0.021,1225,classic_bike
0.013,1230,classic_bike
0.014,1235,classic_bike
0.015,1240,classic_bike
0.017,1245,classic_bike
0.012,1250,classic_bike
0.016,1255,classic_bike
0.02,1260,classic_bike
0.023,1265,classic_bike
0.021,1270,classic_bike
0.027,1275,classic_bike
0.015,1280,classic_bike
0.023,1285,classic_bike
0.014,1290,classic_bike
0.017,1295,classic_bike
0.013,1300,classic_bike
0.011,1305,classic_bike
0.025,1310,classic_bike
0.015,1315,classic_bike
0.013,1320,classic_bike
0.018,1325,classic_bike
0.014,1330,classic_bike
0.016,1335,classic_bike
0.015,1340,classic_bike
0.019,1345,classic_bike
0.016,1350,classic_bike
0.007,1355,classic_bike
0.009,1360,classic_bike
0.015,1365,classic_bike
0.012,1370,classic_bike
0.014,1375,classic_bike
0.01,1380,classic_bike
0.019,1385,classic_bike
0.019,1390,classic_bike
0.013,1395,classic_bike
0.011,1400,classic_bike
0.005,1405,classic_bike
0.005,1410,classic_bike
0.013,1415,classic_bike
0.012,1420,classic_bike
0.018,1425,classic_bike
0.008,1430,classic_bike
0.029,1435,classic_bike
