rides_in_thousands,start_station_name,member_casual
2.321,Canal St & Taylor St,casual
3.646,Canal St & Taylor St,member
3.691,Cannon Dr & Fullerton Ave,casual
2.425,Cannon Dr & Fullerton Ave,member
0.017,Carpenter St & 63rd St,casual
0.005,Carpenter St & 63rd St,member
6.724,Carpenter St & Huron St,member
3.165,Carpenter St & Huron St,casual
0.167,Central Ave & Altgeld St,member
0.097,Central Ave & Altgeld St,casual
0.269,Central Ave & Chicago Ave,member
0.063,Central Ave & Chicago Ave,casual
0.017,Central Ave & Harrison St,member
0.065,Central Ave & Harrison St,casual
0.098,Central Ave & Lake St,member
0.098,Central Ave & Lake St,casual
0.091,Central Ave & Madison St,member
0.076,Central Ave & Madison St,casual
0.145,Central Ave & Parker Ave,member
0.057,Central Ave & Parker Ave,casual
0.114,Central Ave & Roscoe St,casual
0.046,Central Ave & Roscoe St,member
0.072,Central Ave & Wellington Ave,member
0.06,Central Ave & Wellington Ave,casual
0.163,Central Park & Augusta Blvd,member
0.07,Central Park & Augusta Blvd,casual
0.058,Central Park Ave & 24th St,member
0.056,Central Park Ave & 24th St,casual
0.022,Central Park Ave & 66th St,casual
0.003,Central Park Ave & 66th St,member
0.185,Central Park Ave & Ardmore Ave,casual
0.181,Central Park Ave & Ardmore Ave,member
0.926,Central Park Ave & Bloomingdale Ave,casual
1.0,Central Park Ave & Bloomingdale Ave,member
0.057,Central Park Ave & Douglas Blvd,casual
0.035,Central Park Ave & Douglas Blvd,member
0.908,Central Park Ave & Elbridge Ave,casual
1.852,Central Park Ave & Elbridge Ave,member
0.303,Central Park Ave & North Ave,casual
0.451,Central Park Ave & North Ave,member
0.28,Central Park Ave & Ogden Ave,member
0.358,Central Park Ave & Ogden Ave,casual
0.014,Central Park Ave & Ohio St,member
0.141,Central Park Ave & Ohio St,casual
0.062,Central Park Ave & Washington Blvd,member
0.075,Central Park Ave & Washington Blvd,casual
0.058,Central Park Blvd & 5th Ave,casual
0.061,Central Park Blvd & 5th Ave,member
0.486,Central St & Girard Ave,member
0.569,Central St & Girard Ave,casual
0.711,Central St Metra,member
0.665,Central St Metra,casual
1.381,Cherry Ave & Blackhawk St,member
0.613,Cherry Ave & Blackhawk St,casual
2.521,Chicago Ave & Sheridan Rd,casual
2.817,Chicago Ave & Sheridan Rd,member
1.157,Chicago Ave & Washington St,casual
1.311,Chicago Ave & Washington St,member
0.174,Chicago State University,casual
0.084,Chicago State University,member
1.059,Christiana Ave & Lawrence Ave,member
0.66,Christiana Ave & Lawrence Ave,casual
0.022,Cicero Ave & Flournoy St,casual
0.043,Cicero Ave & Flournoy St,member
0.073,Cicero Ave & Grace St,member
0.013,Cicero Ave & Grace St,casual
0.097,Cicero Ave & Lake St,casual
